EPOCH	LOSS	EER	AUC	S_FAC	D_FAC
0001	0.8669	0.38	0.66
0002	0.7793	0.36	0.69
0003	0.7257	0.30	0.76
0004	0.6716	0.23	0.83
0005	0.6292	0.19	0.86
0006	0.6006	0.17	0.88
0007	0.5922	0.17	0.88
0008	0.5911	0.16	0.88
0009	0.5745	0.16	0.89
0010	0.5742	0.16	0.88
0011	0.5702	0.17	0.87
0012	0.5723	0.16	0.87
0013	0.5750	0.16	0.87
0014	0.5720	0.17	0.86
0015	0.5695	0.16	0.85
0016	0.5724	0.17	0.85
0017	0.5715	0.17	0.84
0018	0.5777	0.17	0.85
0019	0.5670	0.16	0.83
0020	0.5712	0.16	0.83
0021	0.5706	0.16	0.81
0022	0.5735	0.16	0.82
0023	0.5944	0.17	0.83
0024	0.5940	0.16	0.82
0025	0.6012	0.18	0.83
0026	0.6281	0.17	0.83
0027	0.5996	0.16	0.82
0028	0.5839	0.16	0.81
0029	0.6145	0.17	0.83
0030	0.6234	0.17	0.82
0031	0.5962	0.16	0.81
0032	0.5867	0.17	0.83
0033	0.5834	0.16	0.82
0034	0.7400	0.16	0.81
0035	0.5997	0.16	0.80
0036	0.5945	0.16	0.80
0037	0.6089	0.16	0.80
0038	0.5834	0.16	0.80
0039	0.5845	0.16	0.82
0040	0.5905	0.16	0.81
0041	0.6067	0.16	0.81
0042	0.5876	0.16	0.81
0043	0.6245	0.16	0.80
0044	0.6230	0.16	0.81
0045	0.5947	0.16	0.82
0046	0.6100	0.16	0.81
0047	0.6264	0.16	0.82
0048	0.6390	0.17	0.81
0049	0.6697	0.16	0.84
0050	0.6024	0.16	0.84
0051	0.6293	0.16	0.85
0052	0.5975	0.17	0.84
0053	0.6011	0.16	0.83
0054	0.5905	0.16	0.84
0055	0.6303	0.16	0.83
0056	0.5997	0.16	0.84
0057	0.5866	0.16	0.82
0058	0.7224	0.18	0.84
0059	0.6900	0.16	0.87
0060	0.6681	0.16	0.85
0061	0.6060	0.17	0.85
0062	0.6780	0.17	0.87
0063	0.5956	0.16	0.88
0064	0.5685	0.16	0.87
0065	0.5955	0.17	0.87
0066	0.5990	0.16	0.88
0067	0.5669	0.16	0.88
0068	0.5610	0.16	0.88
0069	0.5683	0.16	0.88
0070	0.6079	0.17	0.88
0071	0.5588	0.16	0.90
0072	0.5492	0.16	0.89
0073	0.6034	0.17	0.88
0074	0.5778	0.16	0.90
0075	0.5412	0.16	0.90
0076	0.5690	0.16	0.90
0077	0.5362	0.16	0.90
0078	0.5609	0.16	0.89
0079	0.5313	0.16	0.90
0080	0.5446	0.16	0.89
0081	0.5405	0.16	0.90
0082	0.5215	0.16	0.90
0083	0.5291	0.16	0.89
0084	0.5448	0.16	0.90
0085	0.5384	0.16	0.90
0086	0.5327	0.16	0.90
0087	0.5448	0.16	0.90
0088	0.5648	0.16	0.91
0089	0.5344	0.16	0.91
0090	0.5319	0.16	0.90
0091	0.5264	0.16	0.90
0092	0.5423	0.18	0.87
0093	0.5807	0.16	0.90
0094	0.5266	0.16	0.90
0095	0.5163	0.16	0.91
0096	0.5198	0.16	0.91
0097	0.5286	0.16	0.90
0098	0.5192	0.16	0.90
0099	0.5173	0.16	0.90
0100	0.5167	0.16	0.92
0101	0.5360	0.16	0.91
0102	0.5134	0.16	0.91
0103	0.5071	0.15	0.92
0104	0.5230	0.16	0.92
0105	0.5229	0.15	0.92
0106	0.5154	0.16	0.92
0107	0.5112	0.16	0.92
0108	0.5118	0.15	0.92
0109	0.5264	0.15	0.92
0110	0.5280	0.15	0.92
0111	0.5067	0.15	0.92
0112	0.5211	0.16	0.91
0113	0.5113	0.15	0.92
0114	0.5095	0.15	0.92
0115	0.5266	0.15	0.92
0116	0.5214	0.15	0.92
0117	0.5058	0.15	0.92
0118	0.5076	0.15	0.92
0119	0.5150	0.16	0.91
0120	0.5168	0.15	0.93
0121	0.5092	0.15	0.92
0122	0.5048	0.15	0.93
0123	0.5056	0.15	0.93
0124	0.5069	0.15	0.93
0125	0.5016	0.15	0.93
0126	0.5055	0.15	0.93
0127	0.5053	0.15	0.93
0128	0.5006	0.15	0.93
0129	0.5053	0.15	0.94
0130	0.4986	0.15	0.94
0131	0.5023	0.15	0.94
0132	0.5065	0.15	0.93
0133	0.5018	0.15	0.94
0134	0.5153	0.15	0.94
0135	0.4999	0.15	0.94
0136	0.5034	0.15	0.94
0137	0.5196	0.15	0.93
0138	0.5138	0.15	0.94
0139	0.4984	0.15	0.94
0140	0.5004	0.14	0.94
0141	0.5039	0.15	0.94
0142	0.5003	0.14	0.94
0143	0.5032	0.14	0.94
0144	0.5024	0.14	0.94
0145	0.5051	0.14	0.94
0146	0.5213	0.14	0.94
0147	0.5035	0.14	0.94
0148	0.5018	0.14	0.94
0149	0.5024	0.14	0.94
0150	0.5059	0.14	0.94
0151	0.5066	0.14	0.94
0152	0.5035	0.14	0.94
0153	0.5052	0.14	0.94
0154	0.5001	0.14	0.95
0155	0.5042	0.14	0.95
0156	0.4967	0.14	0.95
0157	0.5014	0.14	0.95
0158	0.5049	0.14	0.94
0159	0.5023	0.14	0.95
0160	0.5077	0.14	0.95
0161	0.5040	0.14	0.95
0162	0.5037	0.14	0.95
0163	0.5074	0.14	0.94
0164	0.5051	0.14	0.95
0165	0.5041	0.14	0.95
0166	0.5071	0.14	0.95
0167	0.5054	0.14	0.95
0168	0.5049	0.14	0.95
0169	0.5220	0.14	0.95
0170	0.5033	0.14	0.95
0171	0.5004	0.14	0.95
0172	0.5008	0.14	0.95
0173	0.5076	0.14	0.95
